analysis_level,Feature,RF_fold_selection_frequency,univariate_fold_selection_frequency,plsda_fold_selection_frequency,mean_selection_frequency,detection_rate,stable_by_both_criteria
animal-level,150.94,0.0,0.0,0.0,0.0,0.005,False
animal-level,150.41,0.0,0.0,0.0,0.0,0.0,False
animal-level,68.27,0.0,0.0,0.0,0.0,0.0,False
animal-level,150.04,0.0,0.0,0.0,0.0,0.927,False
animal-level,149.14,0.0,0.0,0.0,0.0,0.026,False
animal-level,148.93,0.0,0.0,0.0,0.0,0.0,False
animal-level,147.99,0.0,0.0,0.0,0.0,0.031,False
animal-level,67.25,0.0,0.0,0.0,0.0,0.0,False
animal-level,158.89,0.0,0.0,0.0,0.0,0.604,False
animal-level,158.52,0.0,0.0,0.0,0.0,0.0,False
animal-level,158.22,0.0,0.0,0.0,0.0,0.016,False
animal-level,157.87,0.0,0.0,0.0,0.0,0.167,False
animal-level,157.78,0.0,0.0,0.0,0.0,0.0,False
animal-level,157.41,0.0,0.0,0.0,0.0,0.0,False
animal-level,157.08,0.0,0.0,0.0,0.0,0.182,False
animal-level,154.85,0.0,0.0,0.0,0.0,0.005,False
animal-level,156.65,0.0,0.0,0.0,0.0,0.021,False
animal-level,156.3,0.0,0.0,0.0,0.0,0.0,False
animal-level,63.0,0.0,0.0,0.0,0.0,0.995,False
animal-level,156.05,0.0,0.0,0.0,0.0,0.021,False
animal-level,155.69,0.0,0.0,0.0,0.0,0.0,False
animal-level,64.03,0.0,0.0,0.0,0.0,0.833,False
animal-level,155.44,0.0,0.0,0.0,0.0,0.0,False
animal-level,155.06,0.0,0.0,0.0,0.0,0.312,False
animal-level,61.98,0.0,0.0,0.0,0.0,0.339,False
animal-level,248.47,0.0,0.0,0.0,0.0,0.0,False
animal-level,229.53,0.0,0.0,0.0,0.0,0.0,False
animal-level,248.76,0.0,0.0,0.0,0.0,0.0,False
animal-level,229.2,0.0,0.0,0.0,0.0,0.0,False
animal-level,228.51,0.0,0.0,0.0,0.0,0.0,False
animal-level,228.2,0.0,0.0,0.0,0.0,0.0,False
animal-level,226.07,0.0,0.0,0.0,0.0,0.01,False
animal-level,181.09,0.0,0.0,0.0,0.0,0.005,False
animal-level,224.3,0.0,0.0,0.0,0.0,0.021,False
animal-level,224.1,0.0,0.0,0.0,0.0,0.646,False
animal-level,222.03,0.0,0.0,0.0,0.0,0.083,False
animal-level,215.06,0.0,0.0,0.0,0.0,0.005,False
animal-level,214.83,0.0,0.0,0.0,0.0,0.135,False
animal-level,213.56,0.0,0.0,0.0,0.0,0.0,False
animal-level,212.83,0.0,0.0,0.0,0.0,0.24,False
animal-level,211.59,0.0,0.0,0.0,0.0,0.0,False
